<Location> second: 1480559243, nanosecond: 171986000, pose_x: 641004.907034015166573, pose_y: 3449731.598706719465554, zone: 40, heading: -1.222953077484276, covariance: 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 </Location>
<Lanemarking>
second: 1480559241, nanosecond: 660835000, sequence: 382
Id: 0, x: -2.920000, y: -1.885000, z: 0.000000
Id: 1, x: -2.520002, y: -1.883710, z: 0.000000
Id: 2, x: -2.120004, y: -1.882425, z: 0.000000
Id: 3, x: -1.720006, y: -1.881143, z: 0.000000
Id: 4, x: -1.320008, y: -1.879866, z: 0.000000
Id: 5, x: -0.920010, y: -1.878592, z: 0.000000
Id: 6, x: -0.520012, y: -1.877323, z: 0.000000
Id: 7, x: -0.120014, y: -1.876057, z: 0.000000
Id: 8, x: 0.279984, y: -1.874796, z: 0.000000
Id: 9, x: 0.679982, y: -1.873538, z: 0.000000
Id: 10, x: 1.079980, y: -1.872285, z: 0.000000
Id: 11, x: 1.479978, y: -1.871035, z: 0.000000
Id: 12, x: 1.879976, y: -1.869789, z: 0.000000
Id: 13, x: 2.279974, y: -1.868548, z: 0.000000
Id: 14, x: 2.679972, y: -1.867310, z: 0.000000
Id: 15, x: 3.079970, y: -1.866077, z: 0.000000
Id: 16, x: 3.479968, y: -1.864847, z: 0.000000
Id: 17, x: 3.879966, y: -1.863622, z: 0.000000
Id: 18, x: 4.279965, y: -1.862400, z: 0.000000
Id: 19, x: 4.679963, y: -1.861183, z: 0.000000
Id: 20, x: 5.079961, y: -1.859969, z: 0.000000
Id: 21, x: 5.479959, y: -1.858760, z: 0.000000
Id: 22, x: 5.879957, y: -1.857554, z: 0.000000
Id: 23, x: 6.279955, y: -1.856352, z: 0.000000
Id: 24, x: 6.679954, y: -1.855155, z: 0.000000
Id: 25, x: 7.079952, y: -1.853961, z: 0.000000
Id: 26, x: 7.479950, y: -1.852772, z: 0.000000
Id: 27, x: 7.879949, y: -1.851586, z: 0.000000
Id: 28, x: 8.279946, y: -1.850405, z: 0.000000
Id: 29, x: 8.679945, y: -1.849227, z: 0.000000
Id: 30, x: 9.079944, y: -1.848054, z: 0.000000
Id: 31, x: 9.479941, y: -1.846884, z: 0.000000
Id: 32, x: 9.879940, y: -1.845719, z: 0.000000
Id: 33, x: 10.279938, y: -1.844557, z: 0.000000
Id: 34, x: 10.679936, y: -1.843400, z: 0.000000
Id: 35, x: 11.079935, y: -1.842246, z: 0.000000
Id: 36, x: 11.479933, y: -1.841096, z: 0.000000
Id: 37, x: 11.879932, y: -1.839951, z: 0.000000
Id: 38, x: 12.279930, y: -1.838809, z: 0.000000
Id: 39, x: 12.679929, y: -1.837672, z: 0.000000
Id: 40, x: 13.079927, y: -1.836538, z: 0.000000
Id: 41, x: 13.479925, y: -1.835409, z: 0.000000
Id: 42, x: 13.879923, y: -1.834283, z: 0.000000
Id: 43, x: 14.279923, y: -1.833162, z: 0.000000
Id: 44, x: 14.679920, y: -1.832044, z: 0.000000
Id: 45, x: 15.079920, y: -1.830931, z: 0.000000
Id: 46, x: 15.479918, y: -1.829821, z: 0.000000
Id: 47, x: 15.879915, y: -1.828715, z: 0.000000
Id: 48, x: 16.279915, y: -1.827614, z: 0.000000
Id: 49, x: 16.679913, y: -1.826516, z: 0.000000
Id: 50, x: 17.079912, y: -1.825423, z: 0.000000
Id: 51, x: 17.479910, y: -1.824333, z: 0.000000
Id: 52, x: 17.879910, y: -1.823248, z: 0.000000
Id: 53, x: 18.279907, y: -1.822166, z: 0.000000
Id: 54, x: 18.679907, y: -1.821089, z: 0.000000
Id: 55, x: 19.079905, y: -1.820015, z: 0.000000
Id: 56, x: 19.479904, y: -1.818946, z: 0.000000
Id: 57, x: 19.879902, y: -1.817880, z: 0.000000
Id: 58, x: 20.279902, y: -1.816818, z: 0.000000
Id: 59, x: 20.679899, y: -1.815761, z: 0.000000
Id: 60, x: 21.079899, y: -1.814707, z: 0.000000
Id: 61, x: 21.479897, y: -1.813658, z: 0.000000
Id: 62, x: 21.879896, y: -1.812612, z: 0.000000
Id: 63, x: 22.279894, y: -1.811571, z: 0.000000
Id: 64, x: 22.679894, y: -1.810533, z: 0.000000
Id: 65, x: 23.079891, y: -1.809500, z: 0.000000
